,Politician,Traded Issuer,Published,Traded,Filed After,Owner,Type,Size,Price
1,John RoseRepublicanHouseTN,FIDELITY INVESTMENTS MONEY MARKET FUNDS INSTITUTIONALFNSXX:US,13:05Today,23 Jun2025,days11,Undisclosed,sell,15K–50K,N/A
2,John RoseRepublicanHouseTN,JPMORGAN US GOVERNMENT MONEY MARKET FUNDOGVXX:US,13:05Today,23 Jun2025,days11,Undisclosed,sell,1M–5M,N/A
3,John RoseRepublicanHouseTN,Alphabet IncGOOGL:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,1M–5M,$166.18
4,John RoseRepublicanHouseTN,Alphabet IncGOOGL:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,250K–500K,$167.71
5,John RoseRepublicanHouseTN,CAPITAL WORLD GROW AND INCOMECWGIX:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,250K–500K,N/A
6,John RoseRepublicanHouseTN,AMERICAN FUNDS EUROPACIFIC GROWTH FUNDAEPGX:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,250K–500K,N/A
7,John RoseRepublicanHouseTN,AMERICAN FUNDS THE GROWTH FUND OF AMERICAAGTHX:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,500K–1M,N/A
8,John RoseRepublicanHouseTN,AMERICAN FUNDS INVMT CO OF AMER AN/A,13:05Today,3 Jun2025,days31,Undisclosed,sell,250K–500K,N/A
9,John RoseRepublicanHouseTN,AMERICAN FUNDS SMALLCAP WORLD FUNDSMCWX:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,500K–1M,N/A
10,John RoseRepublicanHouseTN,AMERICAN FUNDS SMALLCAP WORLD FUNDSMCWX:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,500K–1M,N/A
11,John RoseRepublicanHouseTN,JPMORGAN US GOVERNMENT MONEY MARKET FUNDOGVXX:US,13:05Today,3 Jun2025,days31,Undisclosed,buy,1M–5M,N/A
12,John RoseRepublicanHouseTN,Microsoft CorpMSFT:US,13:05Today,3 Jun2025,days31,Undisclosed,sell,250K–500K,$462.97
13,Shelley Moore CapitoRepublicanSenateWV,Unitedhealth Group IncUNH:US,4 Jul2025,23 Jun2025,days11,Spouse,sell,1K–15K,$300.68
14,Shelley Moore CapitoRepublicanSenateWV,Analog Devices IncADI:US,4 Jul2025,18 Jun2025,days16,Spouse,sell,1K–15K,$229.65
15,Shelley Moore CapitoRepublicanSenateWV,Wells Fargo & CoWFC:US,4 Jul2025,18 Jun2025,days16,Spouse,sell,1K–15K,$74.74
16,Shelley Moore CapitoRepublicanSenateWV,Microsoft CorpMSFT:US,4 Jul2025,18 Jun2025,days16,Spouse,sell,1K–15K,$480.24
17,Shelley Moore CapitoRepublicanSenateWV,Exxon Mobil CorpXOM:US,4 Jul2025,18 Jun2025,days16,Spouse,sell,1K–15K,$113.19
18,Shelley Moore CapitoRepublicanSenateWV,Citigroup IncC:US,4 Jul2025,18 Jun2025,days16,Spouse,sell,1K–15K,$78.35
19,Scott FranklinRepublicanHouseFL,Accenture PLCACN:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$318.02
20,Scott FranklinRepublicanHouseFL,Air Products and Chemicals IncAPD:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$277.44
21,Scott FranklinRepublicanHouseFL,Alphabet IncGOOGL:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$160.75
22,Scott FranklinRepublicanHouseFL,Amgen IncAMGN:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$312.50
23,Scott FranklinRepublicanHouseFL,Apple IncAAPL:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$209.82
24,Scott FranklinRepublicanHouseFL,Apple IncAAPL:US,4 Jul2025,30 Jan2024,days520,Joint,sell,1K–15K,$188.04
25,Scott FranklinRepublicanHouseFL,Automatic Data Processing IncADP:US,4 Jul2025,25 Sept2024,days281,Spouse,buy,1K–15K,$275.25
26,Scott FranklinRepublicanHouseFL,Berkshire Hathaway IncBRK/B:US,4 Jul2025,30 Jan2024,days520,Joint,sell,1K–15K,$387.15
27,Scott FranklinRepublicanHouseFL,Berkshire Hathaway IncBRK/B:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$427.02
28,Scott FranklinRepublicanHouseFL,Chubb LtdCB:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$265.71
29,Scott FranklinRepublicanHouseFL,Comcast CorpCMCSA:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$38.51
30,Scott FranklinRepublicanHouseFL,Costco Wholesale CorpCOST:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$810.30
31,Scott FranklinRepublicanHouseFL,FIDELITY ADVISOR TOTAL BOND FUNDFBKWX:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,N/A
32,Scott FranklinRepublicanHouseFL,FIRST TRUST SMID CAP RISING DIVIDEND ACHIEVERS ETFSDVY:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,N/A
33,Scott FranklinRepublicanHouseFL,General Dynamics CorpGD:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$287.17
34,Scott FranklinRepublicanHouseFL,The Home Depot IncHD:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$342.40
35,Scott FranklinRepublicanHouseFL,Illinois Tool Works IncITW:US,4 Jul2025,25 Sept2024,days281,Spouse,buy,1K–15K,$258.06
36,Scott FranklinRepublicanHouseFL,INVESCO NASDAQ 100 ETFQQQM:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$178.94
37,Scott FranklinRepublicanHouseFL,Johnson & JohnsonJNJ:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$158.90
38,Scott FranklinRepublicanHouseFL,JPMorgan Chase & CoJPM:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$200.40
39,Scott FranklinRepublicanHouseFL,Lockheed Martin CorpLMT:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$548.51
40,Scott FranklinRepublicanHouseFL,LORD ABBETT SHORT DURATION HIGH YIELD FUNDLSYIX:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,N/A
41,Scott FranklinRepublicanHouseFL,McDonald's CorpMCD:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$269.37
42,Scott FranklinRepublicanHouseFL,Merck & Co IncMRK:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$112.49
43,Scott FranklinRepublicanHouseFL,Microsoft CorpMSFT:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$398.43
44,Scott FranklinRepublicanHouseFL,PepsiCo IncPEP:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$171.79
45,Scott FranklinRepublicanHouseFL,The Procter & Gamble CoPG:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$170.02
46,Scott FranklinRepublicanHouseFL,Starbucks CorpSBUX:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$75.29
47,Scott FranklinRepublicanHouseFL,Starbucks CorpSBUX:US,4 Jul2025,30 Jan2024,days520,Joint,sell,1K–15K,$94.08
48,Scott FranklinRepublicanHouseFL,The Hershey CoHSY:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$199.82
49,Scott FranklinRepublicanHouseFL,United Parcel Service IncUPS:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$123.32
50,Scott FranklinRepublicanHouseFL,Unitedhealth Group IncUNH:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$566.08
51,Scott FranklinRepublicanHouseFL,Visa IncV:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$256.52
52,Scott FranklinRepublicanHouseFL,Walmart IncWMT:US,4 Jul2025,7 Aug2024,days330,Spouse,buy,1K–15K,$66.91
53,Scott FranklinRepublicanHouseFL,Walmart IncWMT:US,4 Jul2025,30 Jan2024,days520,Joint,sell,1K–15K,$165.59
54,Virginia FoxxRepublicanHouseNC,Bristol-Myers Squibb CoBMY:US,4 Jul2025,24 Jun2025,days9,Undisclosed,sell,1K–15K,$47.03
55,Virginia FoxxRepublicanHouseNC,ELLINGTON FINANCIAL INCEFC:US,4 Jul2025,30 Jun2025,days3,Undisclosed,buy,1K–15K,$12.99
56,Virginia FoxxRepublicanHouseNC,Energy Transfer LPET:US,4 Jul2025,24 Jun2025,days9,Undisclosed,sell,15K–50K,$17.69
57,Richard BlumenthalDemocratSenateCT,Not Fade Away LLCN/A,3 Jul2025,4 Jun2025,days29,Spouse,buy,250K–500K,N/A
58,Richard BlumenthalDemocratSenateCT,ELCM2 LLCN/A,3 Jul2025,4 Jun2025,days29,Spouse,sell,100K–250K,N/A
59,Richard BlumenthalDemocratSenateCT,AZZAS 2154 SAN/A,3 Jul2025,11 Jun2025,days22,Spouse,buy,1K–15K,N/A
60,Richard BlumenthalDemocratSenateCT,INTER & CO INCINTR:US,3 Jul2025,11 Jun2025,days22,Spouse,buy,1K–15K,$7.23
