politician_name,ticker,trade_date,report_date,trade_size,transaction_type,est_trade_size,close_date
Lisa McClain,CSCO,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,CAG,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,N-A,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,DHR,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,DRI,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,DBX,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,EHC,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,EPAM,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,XOM,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,FI,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,FCPT,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,IT,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,GPI,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,HRL,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,LAD,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,MKC,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,MEDP,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,MMSI,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,META,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,META,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,MU,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,MSFT,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,MORN,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,NYT,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,NOG,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,NOVT,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,PAYX,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,PEP,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,RRC,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,RGEN,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,ROP,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,RGLD,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,SLB,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,SIX,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,SBUX,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,TRGP,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,TFX,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,TPL,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,TMO,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,UNP,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,WRB,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,WAT,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,WDFC,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,WAL,2025-07-16,2025-08-14,1K–15K,buy,8000.0,2025-08-15
Lisa McClain,WHR,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,XPO,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Lisa McClain,ZTS,2025-07-22,2025-08-14,1K–15K,buy,8000.0,2025-08-21
Michael McCaul,DHR,2025-07-29,2025-08-14,500K–1M,buy,750000.0,2025-08-28
Michael McCaul,PINS,2025-07-30,2025-08-14,15K–50K,buy,32500.0,2025-08-29
Michael McCaul,DHR,2025-07-23,2025-08-14,15K–50K,buy,32500.0,2025-08-22
Michael McCaul,WDAY,2025-07-21,2025-08-14,1K–15K,buy,8000.0,2025-08-20
Michael McCaul,DHR,2025-07-25,2025-08-14,1K–15K,buy,8000.0,2025-08-24
Michael McCaul,BKNG,2025-07-30,2025-08-14,1K–15K,buy,8000.0,2025-08-29
Michael McCaul,UBER,2025-07-31,2025-08-14,1K–15K,buy,8000.0,2025-08-30
Michael McCaul,DXCM,2025-07-30,2025-08-14,1K–15K,buy,8000.0,2025-08-29
Michael McCaul,ABT,2025-07-31,2025-08-14,1K–15K,buy,8000.0,2025-08-30
Michael McCaul,SWK,2025-07-24,2025-08-14,100K–250K,buy,175000.0,2025-08-23
Michael McCaul,GPN,2025-07-24,2025-08-14,100K–250K,buy,175000.0,2025-08-23
Michael McCaul,SWK,2025-07-24,2025-08-14,50K–100K,buy,75000.0,2025-08-23
Jim Banks,SBUX,2025-08-04,2025-08-10,1K–15K,buy,8000.0,2025-09-03
Ro Khanna,IP,2025-07-31,2025-08-08,1K–15K,buy,8000.0,2025-08-30
Ro Khanna,BAC,2025-07-21,2025-08-08,1K–15K,buy,8000.0,2025-08-20
Ro Khanna,GIS,2025-07-24,2025-08-08,1K–15K,buy,8000.0,2025-08-23
Ro Khanna,CL,2025-07-24,2025-08-08,1K–15K,buy,8000.0,2025-08-23
Ro Khanna,TMO,2025-07-30,2025-08-08,1K–15K,buy,8000.0,2025-08-29
Ro Khanna,JPM,2025-07-17,2025-08-08,15K–50K,buy,32500.0,2025-08-16
Ro Khanna,ULTA,2025-07-10,2025-08-08,1K–15K,buy,8000.0,2025-08-09
Ro Khanna,TENB,2025-07-10,2025-08-08,1K–15K,buy,8000.0,2025-08-09
Ro Khanna,TMO,2025-07-30,2025-08-08,1K–15K,buy,8000.0,2025-08-29
Ro Khanna,MAA,2025-07-29,2025-08-08,1K–15K,buy,8000.0,2025-08-28
Ro Khanna,UDR,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,CPB,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,KHC,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,ODFL,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,KMX,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,COO,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,MRNA,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,GPN,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,IFF,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,IT,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,OTIS,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,DDOG,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,TGT,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,CPRT,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,TTD,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,SHW,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,LEN,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
Ro Khanna,CTSH,2025-07-25,2025-08-08,1K–15K,buy,8000.0,2025-08-24
